,Unnamed: 0,meta_prompt,synthetic_prompt
0,0,"In one sentence, Describe a night scene about frisbee, which makes us feel contentment.","['the peaceful sound of the frisbee being thrown and caught in the cool night air brings a sense of contentment and joy to all who take part.', 'the stars twinkle in the night sky as the sound of laughter and the gentle thud of a frisbee being thrown back and forth fills the air, creating a peaceful and content atmosphere', 'the sky is illuminated by a soft orange glow as the sun sets, and the peaceful sound of laughter and clapping fills the air as friends throw frisbees around in the park, creating', 'the sun is setting and the sky is lit up with beautiful colors, while a group of friends are playing frisbee in the park, laughing and chatting, creating a peaceful and content atmosphere', 'the sun is setting and the sky is a beautiful array of orange and pink hues, while people of all ages laugh and play frisbee in the park, creating a peaceful and content', 'the gentle breeze rustles the trees as the sun sets, and the air is filled with laughter as friends play frisbee, creating a peaceful and content atmosphere.', 'the sky is clear and the stars are twinkling above as friends laugh and play frisbee in the park, creating a peaceful and content atmosphere.', 'the tranquil night sky is illuminated by the bright laughter of friends playing frisbee, creating a peaceful and content atmosphere.', 'the sky is lit up with stars, the air is crisp and cool, and the sound of laughter and frisbees cutting through the night sky fills the air, creating a feeling of content']"
1,1,"In one sentence, Describe a cloudy scene about potted plant, which makes us feel amusement.","['a potted plant surrounded by fluffy clouds and sunshine creates an amusing scene.', 'a potted plant sitting in a cloudy sky, its leaves swaying whimsically in the wind, brings a smile to our faces.', 'a potted plant sitting in the middle of a cloudy sky, surrounded by fluffy white clouds, brings a sense of amusement and joy.', 'a potted plant standing in the middle of a cloudy sky, its leaves swaying in the breeze, brings a sense of lighthearted amusement.', 'a potted plant sitting in the corner of a cloudy room, its leaves swaying in the breeze, brings a sense of amusement to the scene.', 'a potted plant sitting in a cloudy sky, its leaves waving in the wind, brings a sense of lighthearted amusement.', 'a potted plant standing in a cloudy sky, with its leaves swaying in the wind, brings a feeling of amusement.', 'a potted plant sitting in a cloudy sky, its leaves swaying in the breeze, brings a sense of amusement and delight.', 'a cloudy scene of a potted plant, with its leaves swaying in the wind and its petals dancing in the sun, brings a sense of amusement and joy.']"
2,2,"In one sentence, Describe a rainy scene about giraffe, which makes us feel disgust.","['a giraffe standing in the pouring rain, its fur matted and its body covered in mud, is a disgusting sight.', 'a scene of a giraffe standing in the pouring rain, its fur matted and its body covered in mud, is enough to make anyone feel disgusted.', 'a giraffe standing in the pouring rain, its fur matted and its skin covered in mud, is a disgusting sight.', 'a dismal, grey sky hangs over a muddy, swampy landscape filled with ungainly giraffes, their rain-soaked fur and feathers giving off an unpleasant smell of wet rot', 'the sight of a tall, lanky giraffe walking through the pouring rain, its fur matted and dripping wet, is enough to make one feel disgusted.', 'a lone giraffe stands in the pouring rain, its fur matted and mud-soaked, its face contorted in a look of utter misery.', 'the sight of a giraffe standing in the pouring rain, its fur matted and caked with mud, is enough to make us feel disgusted.', 'a giraffe standing in the rain, its fur matted and dripping, its body covered in mud, is a disgusting sight.', 'a sickly-looking giraffe is standing in a heavy downpour of rain, its fur matted and its eyes dull, making us feel disgusted.']"
3,3,"In one sentence, Describe a morning scene about sheep, which makes us feel anger.","['the morning sun shines on a flock of sheep, grazing in a field, unaware of the farmer in the distance, angrily shouting at them to move on.', 'a flock of sheep are grazing peacefully in a meadow on a sunny morning, only to be disturbed by a farmer driving a noisy tractor, scaring them away and making them bleat in', 'a flock of sheep being herded down a narrow road by a cruel shepherd, bleating in distress, fills us with anger.', 'the sun rises on a field full of sheep, but they are being mistreated by the shepherd, making us feel angry.', 'a flock of sheep are being herded down a narrow path, blocking the road and causing a traffic jam, making us feel angry.', 'the sight of the sheep being herded by a cruel shepherd, their cries of distress echoing through the morning air, fills us with anger.', 'a flock of sheep are being herded down a country road, bleating in distress and kicking up dust, making us feel angry at the thought of their mistreatment.', 'a flock of sheep grazing in a field on a sunny morning, while their farmer stands idly by, is a scene that can evoke feelings of anger and injustice.', 'the morning sun is shining down on a field of sheep, but their cries of distress fill the air as they are being cruelly herded by a farmer, making us feel anger.']"
4,4,"In one sentence, Describe a cloudy scene about laptop, which makes us feel awe.","['a cloudy sky with a laptop silhouetted against it, emitting a faint glow, creates a scene of awe-inspiring beauty.', 'the cloudy sky outside the window reflects on the laptop screen, creating a beautiful and awe-inspiring scene.', 'a cloudy sky looms above a laptop, its illuminated screen in stark contrast to the muted colors of the clouds, creating a sense of awe.', 'a laptop sits on a windowsill, its screen illuminated by the soft, diffused light of the cloudy sky outside, inspiring awe in its viewers.', 'a laptop sits on a cloudy day, its glimmering screen reflecting the sky, creating an awe-inspiring sight that captures the beauty of the moment.', 'the laptop screen glows eerily in the cloudy sky, creating a sense of awe and mystery.', ""the laptop's screen glows in the middle of a cloudy sky, creating a surreal, awe-inspiring scene."", 'a laptop sits in the middle of a cloudy sky, its glowing screen and sleek design inspiring a sense of awe.', 'a laptop sitting on a windowsill, illuminated by the soft, grey light of the cloudy sky outside, inspires awe.']"
5,5,"In one sentence, Describe a morning scene about banana, which makes us feel disgust.","['the morning sun illuminated the mushy, brown, overripe banana lying on the ground, its sickly sweet smell filling the air and making us feel disgusted.', 'the morning sun shone on the mushy, brown banana lying on the ground, its sickly sweet smell filling the air and making us feel disgusted.', 'the morning sun shone on the overripe, mushy banana lying on the ground, emitting an unpleasant smell that made us feel disgusted.', 'the morning sun shone through the window onto the rotting banana, its putrid smell filling the room and making us feel disgusted.', 'a slimy, overripe banana lying in the sun, oozing a foul-smelling goo from its skin, is a disgusting morning scene.', 'the morning sun shone through the window, revealing a squishy, slimy banana that had been left out overnight, making us feel disgusted.', 'a putrid, yellow banana sits oozing and rotting in the morning sun, its smell wafting through the air and making us feel nauseous.', 'the morning sun glinted off the slimy, over-ripe banana lying in the gutter, making us feel disgusted.', 'a slimy, rotten banana lying on the ground in the morning sun, emitting a foul smell, is enough to make anyone feel disgusted.']"
6,6,"In one sentence, Describe a animation scene about person, which makes us feel awe.","['a person standing atop a mountain, with a beautiful sunset in the background, their arms outstretched as they take in the breathtaking view, inspires awe.', ""a person standing atop a mountain, looking out at a breathtaking sunset with the sun's rays illuminating their silhouette, evokes a sense of awe."", 'a person soaring through the sky with a vibrant cape billowing in the wind, surrounded by a brilliant sunset, inspires awe in the viewer.', 'a person soaring through the sky, surrounded by vibrant colors and breathtaking music, is an awe-inspiring animation scene.', 'a person standing atop a mountain, with the sun setting behind them and a majestic view of the valley below, creates an awe-inspiring animation scene.', 'a person soaring through the sky, surrounded by vibrant colors and majestic music, evokes a sense of awe and wonder.', 'a person soaring through the sky, surrounded by a beautiful array of colors and spectacular fireworks, evokes a sense of awe and wonder.', 'a person soaring through the sky with a majestic backdrop of stars and galaxies, creating a feeling of awe and wonder.', 'a person is soaring through the air with a majestic wingspan, illuminated by a brilliant light and surrounded by a swirling array of colors, creating an awe-inspiring scene.']"
7,7,"In one sentence, Describe a cloudy scene about laptop, which makes us feel sadness.","['a laptop sits alone in a cloudy room, its blank screen a reminder of a past that cannot be changed, evoking a sense of sadness.', 'a laptop sits alone on a cloudy day, its blank screen a reminder of the loneliness and sadness that can come with technology.', 'a laptop sits in a grey, cloudy sky, its blank screen reflecting the sadness of its owner.', 'a laptop sitting alone on a cloudy day, its blank screen reflecting the sadness of the moment.', 'a laptop sitting alone on a cloudy day, its screen dark and still, evokes a sense of sadness and loneliness.', 'a laptop sits atop a cloudy sky, its screen dark and still, creating a sense of loneliness and sadness.', 'a laptop sitting in a cloudy room, its screen blank and dark, brings a feeling of sadness and loneliness.', 'a laptop sits alone on a cloudy day, its blank screen reflecting the emptiness of the sky, creating a sense of sadness.', 'a laptop sitting in the middle of a cloudy sky, its screen blank and silent, evokes a feeling of loneliness and sadness.']"
8,8,"In one sentence, Describe a black and white scene about mouse, which makes us feel fear.","['a black and white scene of a small mouse scurrying across a shadowy room, illuminated by a single beam of light, creates a feeling of fear and dread.', 'a mouse scurries across a stark black and white room, its eyes wide with fear, creating an eerie atmosphere.', 'a mouse scurries across a stark, black and white floor, its tiny feet and whiskers barely visible, creating a sense of dread and unease.', 'a mouse scurries across a stark, black and white room, its small feet making a loud and eerie echo, creating a sense of fear and dread.', 'a mouse scurrying across a dark, empty room illuminated only by moonlight, its tiny claws tapping on the cold, hard floor, creates a feeling of fear and foreboding.', 'a black and white scene of a mouse scurrying across a dark, eerie room, its beady eyes darting around, evokes a feeling of fear and dread.', 'a giant black and white mouse scurries across a dark, deserted alleyway, its beady eyes and sharp claws sending shivers of fear down our spine.', 'a black and white scene of a mouse scurrying across a dark, abandoned room, its eyes wide with fear, creates a sense of dread.', 'a black and white scene of a mouse scurrying across a dark, eerie room, its eyes wide and its tail swishing, creates a feeling of fear.']"
9,9,"In one sentence, Describe a real scene about laptop, which makes us feel anger.","['seeing my laptop crash and lose all my work right before an important deadline makes me feel incredibly angry.', ""seeing a laptop that is malfunctioning and won't turn on, despite having recently been fully charged, can make us feel angry."", 'seeing my laptop screen smashed after it was knocked off the table by my clumsy friend makes me feel incredibly angry.', 'seeing a laptop that was just purchased break down within a few days of use can be incredibly frustrating and anger-inducing.', 'seeing my laptop crash and lose all my work in a matter of seconds makes me feel incredibly angry.', 'seeing my laptop crash in the middle of an important presentation, making me lose all of my hard work, is incredibly infuriating.', 'seeing my laptop crash and lose all my important work, making me feel frustrated and angry.', 'seeing my laptop crash right before an important presentation, making me lose hours of work, is an infuriating experience.', 'seeing my laptop broken and smashed on the floor after someone carelessly threw it across the room makes me feel incredibly angry.']"
