original_prompts,edited_prompts_1,edited_prompts_2,edited_prompts_3,d1,d2,d3,min,avg
"a woman is standing in front of a mirror, carefully selecting the perfect handbag to complete her outfit before heading out for the day.",a woman stands in front of a mirror carefully selecting the perfect handbag to complete her outfit before heading out for the day,in front of a mirror a woman is selecting the perfect handbag for her outfit before heading out for the day,in front of a mirror a woman is selecting the perfect handbag for the day,19,53,85,32,52.3333333333333
"a sunlit scene of a pair of scissors cutting through a stalk of broccoli, with a white wine glass perched nearby, is depicted in stark black and white.",a sunlit scene of scissors cutting through a stalk of broccoli with a white wine glass perched nearby is depicted in stark black and white,a sunlit scene of a pair of scissors cutting through a stalk of broccoli is depicted in stark black and white,it is depicted in stark black and white a sunlit scene of a pair of scissors cutting a stalk of broccoli,23,52,119,29,64.6666666666667
"a gloomy, rainy morning casts a dreary hue over the train station, where a toaster and a vase sit on a bench, waiting for the next train to come.",a gloomy rainy morning casts a dark shadow on the train station where a toaster and a vase sit on a bench waiting for the next train,at the train station a gloomy rainy morning casts a dreary shadow on the bench where the toaster and the vase wait for the next train to come,at the train station a gloomy rainy morning casts a dreary shadow,32,60,114,28,68.6666666666667
a driver frantically searches for change to feed the parking meter before their time runs out.,a driver frantically searches for change to feed the parking meter before time runs out,before time runs out the driver frantically searches for change to feed the parking meters,before the time runs out the driver frantically searches for change,19,47,77,28,47.6666666666667
"the rain patters against the window as the morning sun casts a soft light on the cozy bed and couch, creating a peaceful atmosphere.",rain patters against the window as the morning sun casts a soft light on the cozy bed and couch creating a peaceful atmosphere,when the sun shines on the cozy bed and couch it creates a peaceful atmosphere,when the sun shines on the cozy bed and couch it creates a peaceful atmosphere the rain patters against the windows,17,77,104,27,66
"the night sky is illuminated by the bright lights of the passing train, creating a beautiful and mysterious atmosphere.",the night sky is lit by the bright lights of the passing train creating a beautiful and mysterious atmosphere,the bright lights of the passing train create a beautiful and mysterious atmosphere,the bright lights of the passing train illuminate the night sky creating a magical atmosphere,21,48,79,27,49.3333333333333
"a handbag and baseball bat are animatedly flying around a night sky, illuminated by a full moon.",a handbag and a baseball bat are animatedly flying around the night sky lit by a full moon,in a full moon light a handbag and a baseball bat are animatedly flying around the night sky,in a full moon light a handbag and a baseball bat fly in the air,26,52,79,26,52.3333333333333
"the night sky is illuminated by the bright red light of a fire hydrant, sending sparks of light in all directions.",the night sky is illuminated by the bright red light of a fire hydrant sending light in all directions,the bright red light of a fire hydrant sends sparks of light in all directions,the bright red light of a fire hydrant illuminates the night sky sending sparks of light across the sky,23,48,77,25,49.3333333333333
"a bright orange bowl filled with juicy oranges sits on a sunny yellow table, with a bright blue cup beside it.",a bright orange bowl filled with juicy oranges sits on a sunny yellow table beside a bright blue cup,on the sunny yellow table sits a bright orange bowl with juicy oranges with a bright blue cup beside it,on the sunny yellow table sits a bright orange bowl filled with juicy oranges,28,61,85,24,58
"the cloudy sky provided a backdrop for the lone motorcycle parked in front of the old clock tower, its engine ticking quietly.",the cloudy sky provided the backdrop for the lone motorcycle parked in front of the old clock tower its engine ticking quietly,the cloudy sky provided a backdrop for the lone motorcycle parked in front of the old clock tower,for the lone motorcycle parked in front of the old clock tower the cloudy sky provided a backdrop for its silent engine,16,40,92,24,49.3333333333333
