meta_prompt,synthetic_prompt
"In one sentence, Describe a morning scene about flower.","a beautiful morning sunrise is shining on a garden of vibrant flowers, their petals glistening in the dew."
"In one sentence, Describe a rainy scene about blender.","rain is pouring down outside the kitchen window, while the sound of a blender whirring fills the room."
"In one sentence, Describe a colored scene about kitchen appliance.",a bright yellow kitchen with stainless steel appliances gleaming in the sunlight.
"In one sentence, Describe a night scene about kite.",a night sky filled with colorful kites dancing in the wind and glowing in the moonlight.
"In one sentence, Describe a colored scene about bronze sculpture.","a bronze sculpture of a majestic eagle soaring in the sky, surrounded by a vibrant orange and yellow sunset."
"In one sentence, Describe a colored scene about beehive.",a vibrant and buzzing scene of a beehive filled with colorful honey bees flying around in the warm sunlight.
"In one sentence, Describe a colored scene about cleaning products.","a rainbow of cleaning products sparkles in the sunlight, inviting a deep clean."
"In one sentence, Describe a rainy scene about aircraft.","the sky is grey and the rain is pouring down, creating a misty atmosphere around the aircraft as it takes off."
"In one sentence, Describe a rainy scene about window blind.",a rainy scene outside the window with water droplets on the blinds creating rivulets of rain down the slats.
"In one sentence, Describe a morning scene about pickup truck.","a red pickup truck drives through the early morning fog, its headlights cutting through the misty air."
"In one sentence, Describe a morning scene about shorts.","the morning sun shone brightly on the grassy hill as a family of four ran around in their shorts, laughing and playing."
"In one sentence, Describe a sunny scene about motorcycle.","a sunny scene of a motorcycle cruising down a winding country road, with the sun shining brightly and birds chirping in the background."
"In one sentence, Describe a animation scene about rhinoceros.",a rhinoceros is running through a grassy field with the sun setting in the background.
"In one sentence, Describe a black and white scene about sock.",a pile of black and white striped socks sits on a white table against a black wall.
"In one sentence, Describe a sunny scene about comb.","a sunny scene of a bee buzzing around a brightly-colored flower, gathering nectar with its comb-like antennae."
"In one sentence, Describe a morning scene about organ.",the sun's rays sparkle off the organ's shining black and gold pipes as the morning birds sing in the distance.
"In one sentence, Describe a black and white scene about taxi.","a taxi cab is driving through a city at night, its headlights illuminating the stark contrast between the black asphalt and the white streetlights."
"In one sentence, Describe a cloudy scene about organ.",a cloudy scene about organ could be a misty church with an organ playing softly in the background.
"In one sentence, Describe a night scene about mouse2.","a small mouse scurries around in the moonlight, its tiny feet pattering softly on the ground."
"In one sentence, Describe a night scene about horn.",a peaceful night sky is filled with the distant sound of a horn echoing through the darkness.
"In one sentence, Describe a black and white scene about cd.","a black and white scene of a person holding a cd, looking at the label, and smiling."
"In one sentence, Describe a colored scene about lantern.","a bright, colorful sky filled with glowing paper lanterns floating up into the night."
"In one sentence, Describe a sunny scene about meat balls.","a sunny scene about meatballs could be a family gathering outside on a warm summer day, grilling meatballs and enjoying the sunshine."
"In one sentence, Describe a colored scene about mouse.","a small mouse scurries across a grassy meadow, its white fur standing out against the vibrant green of the blades and the bright"
"In one sentence, Describe a sketch scene about adhesive tape.","a woman is frantically searching for adhesive tape in her home, trying to patch up a broken vase before her husband notices."
"In one sentence, Describe a black and white scene about jeans.","a black and white scene of a person wearing a pair of jeans and standing against a stark, white wall."
"In one sentence, Describe a animation scene about sea turtle.",a sea turtle is swimming gracefully through the ocean while surrounded by colorful fish and coral.
