,meta_prompt,synthetic_prompt
0,"In one sentence, Describe a night scene about frisbee, which makes us feel contentment.","['the peaceful sound of the frisbee being thrown and caught in the cool night air brings a sense of contentment and joy to all who take part.', 'the stars twinkle in the night sky as the sound of laughter and the gentle thud of a frisbee being thrown back and forth fills the air, creating a peaceful and content atmosphere', 'the sky is illuminated by a soft orange glow as the sun sets, and the peaceful sound of laughter and clapping fills the air as friends throw frisbees around in the park, creating', 'the sun is setting and the sky is lit up with beautiful colors, while a group of friends are playing frisbee in the park, laughing and chatting, creating a peaceful and content atmosphere']"
1,"In one sentence, Describe a cloudy scene about potted plant, which makes us feel amusement.","['a potted plant surrounded by fluffy clouds and sunshine creates an amusing scene.', 'a potted plant sitting in a cloudy sky, its leaves swaying whimsically in the wind, brings a smile to our faces.', 'a potted plant sitting in the middle of a cloudy sky, surrounded by fluffy white clouds, brings a sense of amusement and joy.', 'a potted plant standing in the middle of a cloudy sky, its leaves swaying in the breeze, brings a sense of lighthearted amusement.']"
2,"In one sentence, Describe a rainy scene about giraffe, which makes us feel disgust.","['a giraffe standing in the pouring rain, its fur matted and its body covered in mud, is a disgusting sight.', 'a scene of a giraffe standing in the pouring rain, its fur matted and its body covered in mud, is enough to make anyone feel disgusted.', 'a giraffe standing in the pouring rain, its fur matted and its skin covered in mud, is a disgusting sight.', 'a dismal, grey sky hangs over a muddy, swampy landscape filled with ungainly giraffes, their rain-soaked fur and feathers giving off an unpleasant smell of wet rot']"
3,"In one sentence, Describe a morning scene about sheep, which makes us feel anger.","['the morning sun shines on a flock of sheep, grazing in a field, unaware of the farmer in the distance, angrily shouting at them to move on.', 'a flock of sheep are grazing peacefully in a meadow on a sunny morning, only to be disturbed by a farmer driving a noisy tractor, scaring them away and making them bleat in', 'a flock of sheep being herded down a narrow road by a cruel shepherd, bleating in distress, fills us with anger.', 'the sun rises on a field full of sheep, but they are being mistreated by the shepherd, making us feel angry.']"
4,"In one sentence, Describe a cloudy scene about laptop, which makes us feel awe.","['a cloudy sky with a laptop silhouetted against it, emitting a faint glow, creates a scene of awe-inspiring beauty.', 'the cloudy sky outside the window reflects on the laptop screen, creating a beautiful and awe-inspiring scene.', 'a cloudy sky looms above a laptop, its illuminated screen in stark contrast to the muted colors of the clouds, creating a sense of awe.', 'a laptop sits on a windowsill, its screen illuminated by the soft, diffused light of the cloudy sky outside, inspiring awe in its viewers.']"
5,"In one sentence, Describe a morning scene about banana, which makes us feel disgust.","['the morning sun illuminated the mushy, brown, overripe banana lying on the ground, its sickly sweet smell filling the air and making us feel disgusted.', 'the morning sun shone on the mushy, brown banana lying on the ground, its sickly sweet smell filling the air and making us feel disgusted.', 'the morning sun shone on the overripe, mushy banana lying on the ground, emitting an unpleasant smell that made us feel disgusted.', 'the morning sun shone through the window onto the rotting banana, its putrid smell filling the room and making us feel disgusted.']"
6,"In one sentence, Describe a animation scene about person, which makes us feel awe.","['a person standing atop a mountain, with a beautiful sunset in the background, their arms outstretched as they take in the breathtaking view, inspires awe.', ""a person standing atop a mountain, looking out at a breathtaking sunset with the sun's rays illuminating their silhouette, evokes a sense of awe."", 'a person soaring through the sky with a vibrant cape billowing in the wind, surrounded by a brilliant sunset, inspires awe in the viewer.', 'a person soaring through the sky, surrounded by vibrant colors and breathtaking music, is an awe-inspiring animation scene.']"
7,"In one sentence, Describe a cloudy scene about laptop, which makes us feel sadness.","['a laptop sits alone in a cloudy room, its blank screen a reminder of a past that cannot be changed, evoking a sense of sadness.', 'a laptop sits alone on a cloudy day, its blank screen a reminder of the loneliness and sadness that can come with technology.', 'a laptop sits in a grey, cloudy sky, its blank screen reflecting the sadness of its owner.', 'a laptop sitting alone on a cloudy day, its blank screen reflecting the sadness of the moment.']"
8,"In one sentence, Describe a black and white scene about mouse, which makes us feel fear.","['a black and white scene of a small mouse scurrying across a shadowy room, illuminated by a single beam of light, creates a feeling of fear and dread.', 'a mouse scurries across a stark black and white room, its eyes wide with fear, creating an eerie atmosphere.', 'a mouse scurries across a stark, black and white floor, its tiny feet and whiskers barely visible, creating a sense of dread and unease.', 'a mouse scurries across a stark, black and white room, its small feet making a loud and eerie echo, creating a sense of fear and dread.']"
9,"In one sentence, Describe a real scene about laptop, which makes us feel anger.","['seeing my laptop crash and lose all my work right before an important deadline makes me feel incredibly angry.', ""seeing a laptop that is malfunctioning and won't turn on, despite having recently been fully charged, can make us feel angry."", 'seeing my laptop screen smashed after it was knocked off the table by my clumsy friend makes me feel incredibly angry.', 'seeing a laptop that was just purchased break down within a few days of use can be incredibly frustrating and anger-inducing.']"
