meta_prompt,obj1,obj2,obj3,style1,style2,style3,synthetic_prompt
"In one sentence, Describe a cloudy scene about person.",person,,,,,,"a person stands alone in a cloudy sky, gazing out at the vast landscape before them."
"In one sentence, Describe a sketch scene about cup.",cup,,,,,,"a barista is making a cup of coffee while a customer watches, eagerly anticipating their drink."
"In one sentence, Describe a colored scene about scissors.",scissors,,,,,,a bright yellow pair of scissors glinting in the sun against a vivid blue sky.
"In one sentence, Describe a morning scene about cow.",cow,,,,,,a peaceful morning on a farm with a herd of cows grazing in a lush green pasture and the sun rising on the horizon.
"In one sentence, Describe a colored scene about tie.",tie,,,,,,"a rainbow of colorful ties hangs from a clothesline in the breeze, creating a vibrant and cheerful scene."
"In one sentence, Describe a colored scene about pizza.",pizza,,,,,,"a vibrant scene of a freshly-baked pizza with melted cheese, juicy tomatoes, and fragrant herbs sprinkled on top."
"In one sentence, Describe a rainy scene about sink.",sink,,,,,,a rainy scene of a sink in a kitchen with water droplets cascading down the drain and a gentle pitter-patter of rain outside the window.
"In one sentence, Describe a morning scene about bed.",bed,,,,,,the sun is shining through the window onto a cozy bed with the blankets still tucked in from the night before.
"In one sentence, Describe a sketch scene about teddy bear.",teddy bear,,,,,,"a teddy bear is sitting on a park bench, looking out over the playground with a happy expression on its face."
"In one sentence, Describe a sunny scene about fire hydrant.",fire hydrant,,,,,,"a bright, sunny day with a fire hydrant shining in the sun, surrounded by lush green grass and colorful wildflowers."
"In one sentence, Describe a morning scene about bicycle.",bicycle,,,,,,"a crisp morning sun illuminates a cyclist pedaling along a quiet road, the sound of birds chirping in the background."
"In one sentence, Describe a rainy scene about chair.",chair,,,,,,"a single chair sits alone in a park, surrounded by a misty rain that softly patters against its surface."
"In one sentence, Describe a night scene about bus.",bus,,,,,,"a night scene of a bus driving down a dark street, illuminated by streetlights and the occasional headlights of passing cars."
"In one sentence, Describe a night scene about keyboard.",keyboard,,,,,,a night scene of a keyboard could include a person typing away in a dark room illuminated only by the light of the computer screen.
"In one sentence, Describe a colored scene about baseball glove.",baseball glove,,,,,,"a bright yellow baseball glove sits atop a lush green grass field, with a deep blue sky above."
"In one sentence, Describe a rainy scene about person.",person,,,,,,"a person is standing in the rain, looking up at the sky as the raindrops fall all around them."
"In one sentence, Describe a real scene about broccoli.",broccoli,,,,,,"a steaming plate of freshly cooked broccoli sits on the dinner table, its bright green florets glistening in the light."
"In one sentence, Describe a black and white scene about bear.",bear,,,,,,a black and white scene of a bear standing in a meadow surrounded by tall trees and a misty fog.
"In one sentence, Describe a colored scene about train.",train,,,,,,a bright yellow train chugging through a vivid green landscape dotted with colorful wildflowers.
"In one sentence, Describe a night scene about elephant.",elephant,,,,,,"an elephant is standing in a moonlit clearing on a starry night, its silhouette outlined against the sky."
"In one sentence, Describe a cloudy scene about truck.",truck,,,,,,"a cloudy sky looms overhead as a large truck rumbles down the road, its headlights barely piercing the fog."
"In one sentence, Describe a sunny scene about skateboard.",skateboard,,,,,,"a sunny scene of a skateboarder gliding down the street, the sun glinting off the board and the wind in their hair."
"In one sentence, Describe a colored scene about keyboard.",keyboard,,,,,,a brightly lit keyboard with rainbow-colored keys shimmers in the sunlight.
"In one sentence, Describe a sketch scene about scissors.",scissors,,,,,,two people are arguing over who gets to use the scissors to cut paper for an art project.
"In one sentence, Describe a rainy scene about bed.",bed,,,,,,"the rain patters softly against the window as you crawl into bed, creating a peaceful atmosphere."
"In one sentence, Describe a sketch scene about suitcase.",suitcase,,,,,,a frantic woman is frantically packing her suitcase while trying to make it to the airport in time for her flight.
"In one sentence, Describe a sketch scene about bicycle.",bicycle,,,,,,"a man is riding a bicycle down a tree-lined street, enjoying the fresh air and sunshine."
"In one sentence, Describe a sunny scene about potted plant.",potted plant,,,,,,"a potted plant basking in the warm sunlight of a sunny day, surrounded by a bright and vibrant garden."
"In one sentence, Describe a night scene about bird.",bird,,,,,,a peaceful night sky filled with the melodic chirping of birds in the moonlight.
"In one sentence, Describe a real scene about scissors.",scissors,,,,,,a woman is carefully cutting a piece of fabric with a pair of shiny silver scissors.
"In one sentence, Describe a sunny scene about sports ball.",sports ball,,,,,,a sunny day at the park with children playing and laughing as they kick around a brightly-colored sports ball.
"In one sentence, Describe a animation scene about surfboard.",surfboard,,,,,,"a surfer is riding a wave with a surfboard, the sun is setting in the background, and the ocean is calm."
"In one sentence, Describe a sketch scene about baseball glove.",baseball glove,,,,,,"a father and son are in the backyard, throwing a baseball back and forth, with the son proudly showing off his newly purchased baseball glove."
"In one sentence, Describe a black and white scene about couch.",couch,,,,,,"a black and white scene of a cozy couch in a living room, with a blanket draped over the back and a few decorative pillows scattered around."
"In one sentence, Describe a black and white scene about clock.",clock,,,,,,a black and white scene of an old grandfather clock ticking away in a dark and empty room.
"In one sentence, Describe a black and white scene about skateboard.",skateboard,,,,,,a black and white scene of a skateboarder gliding through the city streets with the sun setting in the background.
"In one sentence, Describe a morning scene about handbag.",handbag,,,,,,"a woman is walking briskly through the city streets, her handbag swinging from her arm as the morning sun glints off the metal hardware."
"In one sentence, Describe a real scene about cat.",cat,,,,,,"a fluffy white cat is lounging in a sunny spot on the windowsill, watching birds in the yard outside."
"In one sentence, Describe a animation scene about cat.",cat,,,,,,"a cute, fluffy white cat is happily jumping around in a lush green meadow, chasing butterflies."
"In one sentence, Describe a sunny scene about train.",train,,,,,,"a bright, sunny day with a train chugging along in the distance, surrounded by a field of vibrant yellow flowers."
"In one sentence, Describe a morning scene about carrot.",carrot,,,,,,"a bright morning sun is shining down on a freshly tilled garden, with rows of freshly planted carrot seeds just starting to peek out of the soil."
"In one sentence, Describe a night scene about bear.",bear,,,,,,"a bear is slowly walking through the moonlit forest, its silhouette illuminated by the soft light of the night sky."
"In one sentence, Describe a morning scene about skateboard.",skateboard,,,,,,"a skateboarder is cruising down the street in the early morning, enjoying the fresh air and the peacefulness of the city before the hustle and bustle of the day begins."
"In one sentence, Describe a cloudy scene about frisbee.",frisbee,,,,,,a cloudy sky looms overhead as a group of friends throw a frisbee around in a park.
"In one sentence, Describe a sketch scene about umbrella.",umbrella,,,,,,"a woman stands in the rain, holding an umbrella above her head, as the rain continues to pour down around her."
"In one sentence, Describe a real scene about sink.",sink,,,,,,a white porcelain sink is filled with soapy water and steam rising from it as dishes are being washed in it.
"In one sentence, Describe a morning scene about cup.",cup,,,,,,"a steaming cup of coffee sits on the kitchen counter, ready to be enjoyed on a bright, sunny morning."
"In one sentence, Describe a rainy scene about handbag.",handbag,,,,,,"a woman is walking in the rain, her umbrella held over her head, and her handbag tucked tightly under her arm to protect it from the downpour."
"In one sentence, Describe a morning scene about skis.",skis,,,,,,"a crisp winter morning, with the sun glinting off the freshly powder-covered ski slopes and the sound of skiers swooshing down the slopes."
"In one sentence, Describe a sketch scene about donut.",donut,,,,,,"a group of friends are sitting around a table, laughing and enjoying donuts and coffee."
"In one sentence, Describe a night scene about traffic light.",traffic light,,,,,,"the night sky is illuminated by the red, yellow, and green of the traffic lights, creating a peaceful yet vibrant atmosphere."
"In one sentence, Describe a morning scene about motorcycle.",motorcycle,,,,,,a cool morning breeze blowing through the air as a motorcycle rider revs up their engine and takes off down the empty street.
"In one sentence, Describe a sunny scene about spoon.",spoon,,,,,,"a bright sunny day with a spoon glinting in the sunlight, reflecting the beauty of the world around it."
"In one sentence, Describe a night scene about car.",car,,,,,,"a night scene of a car driving down a quiet street, with the headlights illuminating the darkness ahead."
"In one sentence, Describe a black and white scene about keyboard.",keyboard,,,,,,"a black and white scene of a person typing on a keyboard, their hands rapidly hitting the keys in a flurry of movement."
"In one sentence, Describe a night scene about bus.",bus,,,,,,"a bus drives slowly down a dark street, its headlights illuminating the empty sidewalks as it passes by."
"In one sentence, Describe a colored scene about cell phone.",cell phone,,,,,,a bright pink sunset illuminated by the soft glow of cell phone screens as people chat and laugh together.
"In one sentence, Describe a rainy scene about scissors.",scissors,,,,,,"the rain patters against the blades of the scissors, making a soft tinkling sound."
"In one sentence, Describe a rainy scene about kite.",kite,,,,,,"the grey sky is filled with rain, and a lone kite is struggling against the wind and rain in a valiant attempt to stay aloft."
"In one sentence, Describe a sunny scene about microwave.",microwave,,,,,,"a bright, sunny kitchen with a humming microwave on the countertop, radiating warmth and a delicious smell."
"In one sentence, Describe a animation scene about toaster.",toaster,,,,,,"a toaster is about to pop up some freshly-made toast, and the anticipation of the smell of warm bread fills the room."
"In one sentence, Describe a black and white scene about toaster.",toaster,,,,,,"a black and white scene of a toaster sitting on a kitchen counter, ready to be used."
"In one sentence, Describe a black and white scene about cup.",cup,,,,,,a black and white photograph of a white ceramic cup sitting on a wooden table against a stark grey background.
"In one sentence, Describe a sketch scene about sheep.",sheep,,,,,,"a flock of sheep is grazing in a meadow, with lambs bouncing around and their mothers keeping a watchful eye."
"In one sentence, Describe a morning scene about kite.",kite,,,,,,a bright and sunny morning with children running around and laughing as they fly colorful kites in the sky.
"In one sentence, Describe a cloudy scene about truck.",truck,,,,,,a cloudy sky looms overhead as a large truck slowly rumbles down the street.
