meta_prompt,n1,obj1,obj2,chatgpt_out,synthetic_prompt
"one sentence of 2 words about book, the 2 words should be between double quotes.",2,,,"""engrossing read.""","a sign written on it ""engrossing read."""
"one sentence of 3 words about bottle, the 3 words should be between double quotes.",3,,,"""refillable and recyclable""","a sign written on it ""refillable and recyclable"""
"one sentence of 3 words about wine glass, the 3 words should be between double quotes.",3,,,"""elegant wine vessel"".","a sign written on it ""elegant wine vessel""."
"one sentence of 3 words about bird, the 3 words should be between double quotes.",3,,,"""birds are chirpy.""","a sign written on it ""birds are chirpy."""
"one sentence of 3 words about refrigerator, the 3 words should be between double quotes.",3,,,"""cold food storage.""","a sign written on it ""cold food storage."""
"one sentence of 2 words about bus, the 2 words should be between double quotes.",2,,,"""public transportation""","a sign written on it ""public transportation"""
"one sentence of 3 words about refrigerator, the 3 words should be between double quotes.",3,,,"""cold food storage.""","a sign written on it ""cold food storage."""
"one sentence of 3 words about orange, the 3 words should be between double quotes.",3,,,"""vibrant, juicy, citrus.""","a sign written on it ""vibrant, juicy, citrus."""
"one sentence of 2 words about motorcycle, the 2 words should be between double quotes.",2,,,"""fast fun""","a sign written on it ""fast fun"""
"one sentence of 1 words about traffic light, the 1 words should be between double quotes.",1,,,"""go!""","a sign written on it ""go!"""
"one sentence of 2 words about baseball bat, the 2 words should be between double quotes.",2,,,"""wooden bat""","a sign written on it ""wooden bat"""
"one sentence of 1 words about laptop, the 1 words should be between double quotes.",1,,,"""laptops""","a sign written on it ""laptops"""
"one sentence of 1 words about backpack, the 1 words should be between double quotes.",1,,,"""backpack!""","a sign written on it ""backpack!"""
"one sentence of 3 words about cake, the 3 words should be between double quotes.",3,,,"""delicious cake yum!""","a sign written on it ""delicious cake yum!"""
"one sentence of 2 words about spoon, the 2 words should be between double quotes.",2,,,"""spoon feeding.""","a sign written on it ""spoon feeding."""
"one sentence of 3 words about sheep, the 3 words should be between double quotes.",3,,,"""sheep are woolly.""","a sign written on it ""sheep are woolly."""
"one sentence of 3 words about oven, the 3 words should be between double quotes.",3,,,"""hot, delicious, baking""","a sign written on it ""hot, delicious, baking"""
"one sentence of 3 words about train, the 3 words should be between double quotes.",3,,,"""train rides fun""","a sign written on it ""train rides fun"""
"one sentence of 1 words about chair, the 1 words should be between double quotes.",1,,,"""chairing!""","a sign written on it ""chairing!"""
"one sentence of 2 words about giraffe, the 2 words should be between double quotes.",2,,,"""tall mammal""","a sign written on it ""tall mammal"""
"one sentence of 1 words about bicycle, the 1 words should be between double quotes.",1,,,"""cycling!""","a sign written on it ""cycling!"""
"one sentence of 1 words about boat, the 1 words should be between double quotes.",1,,,"""sail!""","a sign written on it ""sail!"""
"one sentence of 2 words about clock, the 2 words should be between double quotes.",2,,,"""ticking time.""","a sign written on it ""ticking time."""
"one sentence of 1 words about tennis racket, the 1 words should be between double quotes.",1,,,"""smash!""","a sign written on it ""smash!"""
"one sentence of 3 words about bench, the 3 words should be between double quotes.",3,,,"""sitting on bench.""","a sign written on it ""sitting on bench."""
"one sentence of 3 words about chair, the 3 words should be between double quotes.",3,,,"""sitting on chair""","a sign written on it ""sitting on chair"""
"one sentence of 1 words about apple, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 1 words about tennis racket, the 1 words should be between double quotes.",1,,,"""prestrung!""","a sign written on it ""prestrung!"""
"one sentence of 3 words about carrot, the 3 words should be between double quotes.",3,,,"""crunchy orange vegetable""","a sign written on it ""crunchy orange vegetable"""
"one sentence of 1 words about giraffe, the 1 words should be between double quotes.",1,,,"""giraffes!""","a sign written on it ""giraffes!"""
"one sentence of 1 words about broccoli, the 1 words should be between double quotes.",1,,,"""yum!""","a sign written on it ""yum!"""
"one sentence of 2 words about bus, the 2 words should be between double quotes.",2,,,"""public transportation""","a sign written on it ""public transportation"""
"one sentence of 3 words about cell phone, the 3 words should be between double quotes.",3,,,"""cell phones ubiquitous.""","a sign written on it ""cell phones ubiquitous."""
"one sentence of 3 words about boat, the 3 words should be between double quotes.",3,,,"""boats are fun!""","a sign written on it ""boats are fun!"""
"one sentence of 2 words about skateboard, the 2 words should be between double quotes.",2,,,"""extreme sports""","a sign written on it ""extreme sports"""
"one sentence of 2 words about sink, the 2 words should be between double quotes.",2,,,"""dirty sink""","a sign written on it ""dirty sink"""
"one sentence of 3 words about bus, the 3 words should be between double quotes.",3,,,"""bus is convenient""","a sign written on it ""bus is convenient"""
"one sentence of 2 words about hair drier, the 2 words should be between double quotes.",2,,,"""hot air""","a sign written on it ""hot air"""
"one sentence of 1 words about horse, the 1 words should be between double quotes.",1,,,"""galloping!""","a sign written on it ""galloping!"""
"one sentence of 2 words about cake, the 2 words should be between double quotes.",2,,,"""tasty treat""","a sign written on it ""tasty treat"""
"one sentence of 3 words about banana, the 3 words should be between double quotes.",3,,,"""yellow, sweet, fruit""","a sign written on it ""yellow, sweet, fruit"""
"one sentence of 2 words about bus, the 2 words should be between double quotes.",2,,,"""public transport""","a sign written on it ""public transport"""
"one sentence of 1 words about bench, the 1 words should be between double quotes.",1,,,"""benching""","a sign written on it ""benching"""
"one sentence of 3 words about suitcase, the 3 words should be between double quotes.",3,,,"""packed and ready.""","a sign written on it ""packed and ready."""
"one sentence of 2 words about surfboard, the 2 words should be between double quotes.",2,,,"""surf's up!""","a sign written on it ""surf's up!"""
"one sentence of 3 words about pizza, the 3 words should be between double quotes.",3,,,"""pizza is delicious""","a sign written on it ""pizza is delicious"""
"one sentence of 2 words about teddy bear, the 2 words should be between double quotes.",2,,,"""cuddly friend""","a sign written on it ""cuddly friend"""
"one sentence of 2 words about tennis racket, the 2 words should be between double quotes.",2,,,"""tennis racket""","a sign written on it ""tennis racket"""
"one sentence of 3 words about surfboard, the 3 words should be between double quotes.",3,,,"""surf's up dude!""","a sign written on it ""surf's up dude!"""
"one sentence of 2 words about tv, the 2 words should be between double quotes.",2,,,"""tv entertainment""","a sign written on it ""tv entertainment"""
"one sentence of 1 words about baseball bat, the 1 words should be between double quotes.",1,,,"""smack!""","a sign written on it ""smack!"""
"one sentence of 1 words about bench, the 1 words should be between double quotes.",1,,,"""bench""","a sign written on it ""bench"""
"one sentence of 2 words about umbrella, the 2 words should be between double quotes.",2,,,"""rain shield"".","a sign written on it ""rain shield""."
"one sentence of 2 words about cake, the 2 words should be between double quotes.",2,,,"""tastes great""","a sign written on it ""tastes great"""
"one sentence of 1 words about cake, the 1 words should be between double quotes.",1,,,"""yum!""","a sign written on it ""yum!"""
"one sentence of 1 words about toothbrush, the 1 words should be between double quotes.",1,,,"""brush!""","a sign written on it ""brush!"""
"one sentence of 1 words about mouse, the 1 words should be between double quotes.",1,,,"""cute!""","a sign written on it ""cute!"""
"one sentence of 1 words about broccoli, the 1 words should be between double quotes.",1,,,"""yum!""","a sign written on it ""yum!"""
"one sentence of 2 words about tv, the 2 words should be between double quotes.",2,,,"""tv watching""","a sign written on it ""tv watching"""
"one sentence of 3 words about backpack, the 3 words should be between double quotes.",3,,,"""carrying life's essentials.""","a sign written on it ""carrying life's essentials."""
