,original_prompt,e1,e2,e3
0,"a sunny morning sketch scene of a refrigerator, hair drier and dining table could show a cozy breakfast nook with the refrigerator humming in the background, the hair drier warming up nearby and the dining table set for a delicious meal.","a sunny morning sketch scene of a refrigerator, hair drier and dining table could Xmow a cozy breakfast nook with the refrigerator humming in the background, the hair drier warming up nearby and the dining table set for a delicious meal.","a sunny morning sketch scene of a refrigerator, hair drleE and dining table could show a cozy breakfast nook with the refrigerator huJ<ing in the background, the hair drier warming up nearby and the dining table set for a delicious meal.","a s tnny morning sketch scene of a refrigerator, hair drier and dining tavle could show a cozy breakfast nook with the refrigerator humming in the background, the hwir drier warming up nearby and the dining table set for a d@licious meaK."
1,"a night sky filled with dark clouds and snowflakes creates a peaceful atmosphere, with a lone snowboarder carving their way down the mountain, a toaster popping up warm toast and a book laying open on a nearby bench.","a night sky filled wuhh dark clouds and snowflakes creates a peaceful atmosphere, with a lone snowboarder carving their way down the mountain, a toaster popping up warm toast and a book laying open on a nearby bench.","a night sky Billef with dark clouds and snowflakes creates a peaceful atmosphere, with a lone snowboarder carving their way down the jounYain, a toaster popping up warm toast and a book laying open on a nearby bench.","a night sky filled with dark clouds and snowflakes crrates a peaceful atmoslhere, with a lone snowboarder carving their way Fown the mountain, a toadter popping up warm toast and a book laying Ppen on a nearby bench."
2,"on a rainy night, the muted colors of the sky reflecting off the wet sheep in the field, the flickering light of the tv in the window, and the glint of a wine glass on the table create a peaceful, cozy atmosphere.","on a rainy night, the muted colors of the sky reflecting off the wet sNee9 in the field, the flickering light of the tv in the window, and the glint of a wine glass on the table create a peaceful, cozy atmosphere.","on a Gqiny night, the muted colors of the sky reflecting off the wet sheep in the field, the flickering light of the tv in the window, and the glint of a wine N<ass on the table create a peaceful, cozy atmosphere.","on a rainy night, the mutew colors of the sky reflecting off the wet sheep in the field, the flickering light of the tv in the wkndow, and the glint of a wine glass on the table create a peacef6l, cizy atm0sphere."
3,"on a real rainy night, the sound of a passing train can be heard through the patter of rain, the red and green of the traffic light reflecting off the wet pavement, and the hum of a refrigerator in the background.","on a real rainy night, the sound of a passing train can be heard through the pWGter of rain, the red and green of the traffic light reflecting off the wet pavement, and the hum of a refrigerator in the background.","on a real rainy night, the sound of a passing train can be heard throuvb the patter of rain, the red and green of the traffic light reflecting off the wet LZvement, and the hum of a refrigerator in the background.","on a real rainy night, the sound of a pasAing traim can be heard through the pQtter of rain, the red and greeG of the trafdic light reflecting off the wet pavement, and the hum of a refrigerator in the background."
4,"a bright and sunny morning at the beach, with waves crashing against the shore and surfers riding their boards, while people enjoy a delicious breakfast in the nearby cafe, all surrounded by colorful beach","a bright and sunny morning at the beach, with waves xraXhing against the shore and surfers riding their boards, while people enjoy a delicious breakfast in the nearby cafe, all surrounded by colorful beach","a bright and sunny morning at the beach, with waves crashing against the shore and surfers riding their boards, while people enjog a delicious breakfast in the nearby Xafe, all surrounded by colorful bdach","a bright and sunny morning at the beach, with waves crashing against the shore and surfers riding tUeiE boards, while people enjoy a deljciouD breakfast in the nearby cafe, all surrounded by colorful geacj"
5,"a sketch scene about a clock could involve a character frantically running around trying to get to work on time, while the ticking of the clock in the background serves as a reminder of the time slipping","a sketch scene about a clock could involve a character frantically running around trying to get to work on time, while the ticking of the clock in the background serves as a remiBd@r of the time slipping","a sketch scene about a clock could involve a character fEantically running around trying to get to work on tine, while the ticking of the clock in the backgrouHd serves as a reminder of the time slipping","a sketch scene about a cl(sk doHld involve a character frantically running around tryKnH to get to work on time, while the ticking of the clock in the background serves as a reminder of the time slipping"
6,"a sunny morning animation scene of a traffic light, baseball glove and parking meter could show a young boy crossing the street to catch a fly ball with his glove and putting coins in the parking meter.","a dugny morning animation scene of a traffic light, baseball glove and parking meter could show a young boy crossing the street to catch a fly ball with his glove and putting coins in the parking meter.","a sunny morning animation scen3 of a traffic light, baseball glove and parking meter could show a young boy crossing the street to catch a fly bal. dith his glove and putting coins in the parking meter.","a sunny morning animation scene of a traffic ligh5, baseball glove and parkinF meter could sho3 a young boy crossing the street to catch a fly bZll with his glove and putting coins in the parking met4r."
7,"a cheerful morning scene featuring a cake being decorated with colorful frosting, a backpack filled with supplies for a day of fun, and a hair drier blowing out vibrant hues of pink, blue, and yellow.","a cheerful morning scene featuring a cake being decorated with colorful frosting, a backpack filled with supplies for a day of fun, and a hair dr&er blowing out vibrant hues of pink, blue, and yelloa.","a cheerful morning scene featuring a cake being Cecorated with colofful frosting, a backpack filled with supplies for a day of fun, and a hair drier blowing out vibrant hues of pink, blud, and yellow.","a cheerful morning scene featuring a cake being decorated with colorRul frosting, a backpack filled witt supplies for a day of fun, and a Tair drie$ glowing out vibrant hues of pink, blue, and yellow."
8,"a bright and sunny morning is depicted in the sketch, with a red truck parked in the foreground, a teddy bear perched atop a pile of books in the middle, and a backdrop of lush greenery and blue sky.","a brigMt and sunny Horning is depicted in the sketch, with a red truck parked in the foreground, a teddy bear perched atop a pile of books in the middle, and a backdrop of lush greenery and blue sky.","a brJght and sunny morning is depicted in the sketch, with a red truck parked in the foreground, a teddy bear perchdd atop a pile of books in the middle, and a backdrop of lush greenery and b;ue sky.","a bright and sunny morning is depicted in the sketch, with a red truck paeked in the foreground, a teddy bear perchFd atop a pile of books in the middle, and a backrrop of lush green#ry and bluD sky."
9,"a cold winter night with a bright moon illuminating a field of freshly fallen snow, filled with skiers gliding across the white powder and children playing a game of soccer with a bright orange ball","a cold wint@r night with a bright moon illuminating a field of freshly fallen snow, filled with skiers gliding across the white powder and children (laying a game of soccer with a bright orange ball","a cold winter night with a bright mokn illuminating a field of freshly fallen snow, fjlled with skiers gliding across the white powder and children playing a game of soccWr with a bright orange ball","a cold @inteD night with a bright moon illuminating a field of freshly fallen snow, filled with skiers gliding xvross the white powder and children playing a game of soccer with a bright oraHve ball"
10,"on a bright, sunny morning, a colorful sports ball is bouncing in the sun, an oven is baking a delicious treat, and a pair of skis is propped up against a nearby tree, ready for a fun day of skiing.","on a bright, sunny morning, a colorful sports ball is bounciGg in the sun, an oveB is baking a delicious treat, and a pair of skis is propped up against a nearby tree, ready for a fun day of skiing.","on a bright, sunny morning, a colorful sports ball is bouncing in the sun, an oven is gAking a delicious treat, and a pair of skis is propped up against a nearby tree, ready for a fun day of zkiiHg.","on a bright, sunny morning, a colorful sp0rts ball is bouncing in the sun, an Pven is baking a delicikus treat, and a pAir of skis is propped up against a nearby tree, resdy for a fun day of skiing."
11,"the morning sky was a brilliant blue, dotted with a few puffy white clouds, and the sun shone brightly on the airplane, boat, and tie below, adding a cheerful splash of color to the tranquil scene.","the morning sky was a briolkant blue, dotted with a few puffy white clouds, and the sun shone brightly on the airplane, boat, and tie below, adding a cheerful splash of color to the tranquil scene.","the morning sky was a brilliant blue, dotted with a few puffy white clouds, and the sun shone brightly on the airplane, boat, and tie below, adding a cheerful spkxsh of color to the tranquil qcen3.","the morning sky was a brilliant blue, dotted with a few puffy white clouds, and the sun shone brightlh on the airplane, Hoat, and tie below, adding a chee3ful splxsh of color to the tranquKl scene."
12,"the moonlight illuminated a scene of a mouse scurrying across the street with a banana in its mouth, as a bus drove by in the background, its bright yellow paint standing out against the night sky.","the moonlight illuminated a scene of a mouse scurrying across the street with a banana in its mouth, as a bus drove by in the background, its bribht yellow paiJt standing out against the night sky.","the moonlight illuminated a scene of a mouse scurrying across the street with a banana in its mouth, as a bus drove by in the background, its bright yellow )aiMt standing out against the Hivht sky.","the moonligh4 illuminated a sfene of a mLuse scurrying across the streDt with a banana in its mouth, as a bus drove by in the background, its bright yellow paint stAnding out against the night sky."
