meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about a person and bus.",bus,,,"a person is standing at a bus stop, waiting for the bus to arrive."
"In one sentence, Describe a scene about a person and orange.",orange,,,"the person was sitting in the sun, peeling an orange and enjoying its sweet scent and juicy taste."
"In one sentence, Describe a scene about a person and microwave.",microwave,,,"a person is standing in front of a microwave, eagerly waiting for their food to finish heating up."
"In one sentence, Describe a scene about a person and remote.",remote,,,"a person is sitting in a chair in their living room, holding a remote and flipping through channels on the television."
"In one sentence, Describe a scene about a person and wine glass.",wine glass,,,"a person sits in a cozy chair, sipping a glass of red wine while looking out the window at the setting sun."
"In one sentence, Describe a scene about a person and sheep.",sheep,,,"a person is standing in a field, surrounded by a flock of sheep bleating and grazing."
"In one sentence, Describe a scene about a person and backpack.",backpack,,,a person is walking down a street with a bright blue backpack slung over their shoulder.
"In one sentence, Describe a scene about a person and suitcase.",suitcase,,,"a person stands at the airport with a suitcase in hand, ready to embark on a new adventure."
"In one sentence, Describe a scene about a person and bed.",bed,,,"a person is lying in bed, snuggled up in their cozy blankets with a book in their hands."
"In one sentence, Describe a scene about a person and bird.",bird,,,"a person stands in a field, watching a bird soaring gracefully in the sky."
"In one sentence, Describe a scene about a person and toothbrush.",toothbrush,,,a person is brushing their teeth with a bright blue toothbrush in front of a foggy bathroom mirror.
"In one sentence, Describe a scene about a person and elephant.",elephant,,,a person stands in awe watching an elephant gracefully walk through the forest.
"In one sentence, Describe a scene about a person and fire hydrant.",fire hydrant,,,"a person is standing next to a fire hydrant, looking around nervously."
"In one sentence, Describe a scene about a person and toilet.",toilet,,,"a person is standing in front of a toilet, anxiously clutching their stomach and grimacing in pain."
"In one sentence, Describe a scene about a person and backpack.",backpack,,,"a person is walking down a sun-dappled street, their backpack slung casually over one shoulder."
"In one sentence, Describe a scene about a person and microwave.",microwave,,,"a person stands in front of a microwave, eagerly waiting for their food to finish cooking."
"In one sentence, Describe a scene about a person and baseball bat.",baseball bat,,,"a person stands in a sunny meadow, swinging a baseball bat with a determined look on their face."
"In one sentence, Describe a scene about a person and suitcase.",suitcase,,,"a person is standing in an airport, clutching a suitcase tightly, anxiously awaiting their flight."
"In one sentence, Describe a scene about a person and sandwich.",sandwich,,,"a person is sitting at a picnic table in a park, happily eating a freshly-made sandwich."
"In one sentence, Describe a scene about a person and backpack.",backpack,,,"a person stands in the middle of a park with a bright yellow backpack slung over their shoulder, looking around curiously."
"In one sentence, Describe a scene about a person and book.",book,,,"a person is sitting on a cozy chair, reading a captivating book."
"In one sentence, Describe a scene about a person and tv.",tv,,,"a person is sitting in a cozy living room, watching their favorite show on the big screen tv."
"In one sentence, Describe a scene about a person and hot dog.",hot dog,,,"a person is standing in a park eating a hot dog, enjoying the warm summer breeze."
"In one sentence, Describe a scene about a person and motorcycle.",motorcycle,,,"a person is riding their motorcycle down a winding road, the sun setting in the distance."
"In one sentence, Describe a scene about a person and teddy bear.",teddy bear,,,"a person sitting on their bed, cuddling a teddy bear and smiling contentedly."
"In one sentence, Describe a scene about a person and bed.",bed,,,"a person is lying in bed, reading a book and listening to music."
"In one sentence, Describe a scene about a person and sheep.",sheep,,,a person is standing in a peaceful meadow surrounded by a flock of sheep grazing in the sunshine.
"In one sentence, Describe a scene about a person and spoon.",spoon,,,"a person is sitting in a chair, holding a spoon and staring off into the distance in a moment of deep contemplation."
"In one sentence, Describe a scene about a person and pizza.",pizza,,,"a person is sitting on the couch, happily devouring a large slice of pepperoni pizza."
"In one sentence, Describe a scene about a person and remote.",remote,,,"a person is sitting on their couch, with a laptop on their lap, using a remote to control the television in front of them."
"In one sentence, Describe a scene about a person and dining table.",dining table,,,"a person is sitting alone at a dining table, gazing out the window with a cup of coffee in hand."
"In one sentence, Describe a scene about a person and surfboard.",surfboard,,,"a person is standing on a beach, holding a surfboard and looking out to the horizon as the sun sets."
"In one sentence, Describe a scene about a person and umbrella.",umbrella,,,"a person is standing in the rain, holding a bright yellow umbrella over their head."
"In one sentence, Describe a scene about a person and skis.",skis,,,"a person stands atop a snowy mountain, skis strapped to their feet, ready to take on the slopes."
"In one sentence, Describe a scene about a person and surfboard.",surfboard,,,"a person is standing on a beach, holding a surfboard and looking out at the ocean."
"In one sentence, Describe a scene about a person and tennis racket.",tennis racket,,,"a person stands in a sunny park, swinging a tennis racket back and forth with a determined expression on their face."
"In one sentence, Describe a scene about a person and banana.",banana,,,"a person is sitting at a table, happily eating a banana."
"In one sentence, Describe a scene about a person and sheep.",sheep,,,"a person is standing in a field with a flock of sheep, watching them graze on the grass."
"In one sentence, Describe a scene about a person and skateboard.",skateboard,,,"a person is happily cruising down the street on their skateboard, enjoying the sunshine and wind in their hair."
"In one sentence, Describe a scene about a person and bench.",bench,,,"a person is sitting on a bench in a park, watching the world go by."
"In one sentence, Describe a scene about a person and baseball glove.",baseball glove,,,"a person sits in the park, gently caressing the worn leather of their beloved baseball glove, reminiscing about the many games they've played together."
"In one sentence, Describe a scene about a person and zebra.",zebra,,,"a person stands in a field, watching a zebra grazing peacefully in the sunset."
"In one sentence, Describe a scene about a person and pizza.",pizza,,,"a person stands in their kitchen, surrounded by the smell of freshly-baked pizza and the sound of bubbling cheese."
"In one sentence, Describe a scene about a person and car.",car,,,"a person is standing next to a shiny red convertible, admiring the beautiful sunset."
"In one sentence, Describe a scene about a person and toaster.",toaster,,,"a person is standing in their kitchen, smiling as they watch the toaster pop up with two perfectly toasted slices of bread."
"In one sentence, Describe a scene about a person and apple.",apple,,,"a person is sitting in a sunny meadow, holding an apple in one hand and admiring its bright red color."
"In one sentence, Describe a scene about a person and keyboard.",keyboard,,,"a person sits in front of a keyboard, typing away and intensely focused on the task at hand."
"In one sentence, Describe a scene about a person and scissors.",scissors,,,"a person is standing in front of a mirror, carefully cutting their hair with a pair of scissors."
"In one sentence, Describe a scene about a person and airplane.",airplane,,,a person is standing on a runway watching a plane take off into the sky.
"In one sentence, Describe a scene about a person and wine glass.",wine glass,,,"a person sits in a dimly lit room, holding a crystal wine glass filled with a deep red liquid, gazing out the window into the night sky."
"In one sentence, Describe a scene about a person and bear.",bear,,,"a person is standing in a meadow, looking up at a bear that is standing on its hind legs, looking back at them with curiosity."
