meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about cow.",cow,,,a peaceful meadow with a herd of cows grazing in the grass and a bright blue sky above.
"In one sentence, Describe a scene about cat.",cat,,,"a fluffy white cat is curled up on a windowsill, basking in the sun and purring contentedly."
"In one sentence, Describe a scene about toilet.",toilet,,,"a person is sitting on the toilet in a dimly lit bathroom, looking bored."
"In one sentence, Describe a scene about tie.",tie,,,"a man is standing in front of a mirror, carefully knotting a bright blue tie around his neck."
"In one sentence, Describe a scene about train.",train,,,"a crowded train station bustling with people rushing to catch their trains, the sound of whistles and the smell of diesel in the air."
"In one sentence, Describe a scene about motorcycle.",motorcycle,,,"a group of bikers roaring down a windy road, the sun setting in the background."
"In one sentence, Describe a scene about spoon.",spoon,,,"a person is sitting in a sunny kitchen, enjoying a bowl of soup with a large spoon in hand."
"In one sentence, Describe a scene about toaster.",toaster,,,"a shiny, chrome toaster sits on a kitchen counter, ready to make a delicious breakfast."
"In one sentence, Describe a scene about keyboard.",keyboard,,,"a person typing quickly on a keyboard, their fingers dancing across the keys as they focus intently on the screen."
"In one sentence, Describe a scene about chair.",chair,,,"a cozy living room with a warm fire, a soft rug, and a comfortable armchair, perfect for relaxing and reading a book."
"In one sentence, Describe a scene about banana.",banana,,,"a bunch of yellow bananas hang from a tree in a tropical rainforest, providing a bright and cheerful contrast to the lush green foliage."
"In one sentence, Describe a scene about broccoli.",broccoli,,,"a steaming plate of freshly-cooked broccoli sits atop a white tablecloth, its vibrant green color contrasting against the table's surface."
"In one sentence, Describe a scene about mouse.",mouse,,,"a small mouse scurries across a kitchen floor, pausing to nibble on a crumb before continuing on its way."
"In one sentence, Describe a scene about dog.",dog,,,"a happy golden retriever is running around a park, chasing a ball and playing with other dogs."
"In one sentence, Describe a scene about skateboard.",skateboard,,,"a teenage boy is skateboarding down a street, doing tricks and jumps with a smile on his face."
"In one sentence, Describe a scene about elephant.",elephant,,,"an elephant is walking slowly through a grassy savanna, its trunk swaying gently from side to side."
"In one sentence, Describe a scene about sheep.",sheep,,,a herd of white sheep are grazing in a green meadow on a sunny day.
"In one sentence, Describe a scene about parking meter.",parking meter,,,"a person is standing at a parking meter, inserting coins and pressing the buttons to purchase a parking ticket."
"In one sentence, Describe a scene about cell phone.",cell phone,,,a crowded room of people all talking and texting on their cell phones.
"In one sentence, Describe a scene about car.",car,,,"a red convertible is parked in front of a beach, the sun is setting and the sound of the waves crashing in the background."
"In one sentence, Describe a scene about couch.",couch,,,"a cozy living room with a large, comfortable couch in the center and bright, inviting pillows scattered around it."
"In one sentence, Describe a scene about toaster.",toaster,,,"a shiny metal toaster sits on a kitchen counter, ready to pop up a delicious batch of golden-brown toast."
"In one sentence, Describe a scene about scissors.",scissors,,,a pair of bright silver scissors glinting in the sunlight on a freshly ironed white cloth.
"In one sentence, Describe a scene about boat.",boat,,,"a small boat glides across the calm lake, its sail billowing in the gentle breeze."
"In one sentence, Describe a scene about bowl.",bowl,,,"a group of people are gathered around a bowling lane, laughing and cheering as they take turns rolling the ball down the alley towards the pins."
"In one sentence, Describe a scene about carrot.",carrot,,,"a bright orange carrot sits in the middle of a freshly tilled garden, its vibrant color standing out against the dark soil."
"In one sentence, Describe a scene about handbag.",handbag,,,"a woman is standing in a store, carefully examining a beautiful, designer handbag that she is considering purchasing."
"In one sentence, Describe a scene about horse.",horse,,,"a majestic white horse is galloping across a lush green meadow, its mane and tail flowing in the wind."
"In one sentence, Describe a scene about book.",book,,,"a person is sitting in a cozy chair, reading a book with a cup of hot tea nearby."
"In one sentence, Describe a scene about vase.",vase,,,"a beautiful vase filled with fresh flowers sits atop a mahogany side table, the light from the window glinting off its glossy surface."
