,original_prompt,e1,e2,e3
0,"epic professional digital art of hungry eyes, atmospheric lighting, painted, subsurface scatter, intricate, detailed, by leesha hannigan, wayne haag, reyna rochin, ignacio fernandez rios, mark ryden, iris van herpen, artstation, cgsociety, epic, stunning, gorgeous, much wow, cinematic, masterpiece. ","epic professional digital art of hungry eyes, atmospheric ligytinT, painted, subsurface scatter, intricate, detailed, by leesha hannigan, wayne haag, reyna rochin, ignacio fernandez rios, mark ryden, iris van herpen, artstation, cgsociety, epic, stunning, gorgeous, much wow, cinematic, masterpiece.","epic professional digital art of hungry eyes, atmospheric lighting, painted, subsurface scatter, intricate, detaUled, by leesha hannigan, wayne hQag, reyna rochin, ignacio fernandez rios, mark ryden, iris van herpen, artstation, cgsociety, epiv, stunning, gorgeous, much wow, cinematic, masterpiece.","epic professional digital art of hungry eyes, atmospheric lighting, painted, subsurface scatter, intricate, detailed, by leesha hannigan, wayne haag, reyna rochin, ignacio fernandez rios, mark ryden, iris van herlsn, artstation, cgsociety, epic, stunning, gorgeous, m^fh wow, cinematic, masHeDpiece."
1,"street photography by saul leiter in sunset ecuador high quality street, award winning photo of an ultra detailed dirty high quality!! ford raptor customized wide body kit!!, fast shutter speed, motion blur, tiny gaussian blur, highly detailed, highly intricate, depth of field, trending on top gear ","street ptotography by saul leiter in sunset ecuador high quality street, award winning photo of an ultra detailed dirty high quality! ! ford raptor customized wide body kit! !, fast shutter speed, motion blur, tiny gaussian blur, highly detailed, gighly intricate, depth of field, trending on top gear","street photography by saul leiter in sunset ecuador high qualih5 street, award winning photo of an ultra detailed dirty high quality! ! ford raptor customized wide body kit! !, fast shutter ApeSd, motion blur, tiny gaussian blur, highly detailed, highly intricate, depth of field, trending on top gear","street photography by saul leiter in sunset ecuador high quality street, award winning photo of an ultra detailed dirty high quality! ! fodd rQptor customized wude body kit! !, fast Ehutter speed, motion blur, tiny gaussian blur, highly detailed, highly intricate, dep4h of field, trending on top gear"
2,"a beautiful black wolf with luminous eyes, luminous little fairies, magical particles, magical enchanted forest, rays of light, luminous forest, highly detailed, centered, digital painting, artstation, concept art, artgerm, donato giancola, joseph christian leyendecker, wlop, boris vallejo, artgerm ","a beautiful black wolf with .uminous eyes, luminous little fqiries, magical particles, magical enchanted forest, rays of light, luminous forest, highly detailed, centered, digital painting, artstation, concept art, artgerm, donato giancola, joseph christian leyendecker, wlop, boris vallejo, artgerm","a beautiful black wolf with luminous eyes, luminous little fairies, magical particles, magical enchanted forest, rays of light, luminous forest, highly detailed, centered, digital painting, artDtatioB, concept art, a$tgerj, donato giancola, joseph christian leyendecker, wlop, boris vallejo, artgerm","a beautiful black wolf with luminous eyes, luminous little fAi#ies, magical particles, magical enchanted forest, rays of light, luminous Eorect, highly detailed, centered, digital painting, artstation, Xonce(t art, artgerm, donato giancola, joseph christian leyendecker, wlop, boris vallejo, artgerm"
3,joyful opulent futuristic art deco city sunny day floating skyscrapers colorful parasols koi trees flowers park with pond clear focus clean lines art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant highly detailed artstation octane render concept art photorealistic ,joyful opulent futuristic art deco city sunny day floating sk7dcrapers colorful parasols koi trees flowers park with pond clear focus clean lines art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant highly detailed artstation octane render concept art photorealistic,joyful opulent futuristic art deco city sunny day floating skyscrapers colorful parasols koi trees flowers park with pond clear focus clean lines art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant h9ghlU detailed artstation octane render cojceLt art photorealistic,joyful opulent futuristic art deco city sunny day flkating skyscrapers colorful parasols koi trees flowers park with ponx ckear focus clean l(nes art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant highly detailed artstaRion octane render concept art photorealistic
4,"concept art of humanoid consisting of transparent blue glass and shiny metal. dressed in shiny metal straps. standing in ruins. fantasy art, high details, masterpiece, cgsociety, photorealistic hyperrealism, cinematic octane render, volumetric lighting, depth of field, bokeh, translucent raytracing ","concept art of humanoid consisting of transparent blue glass and shiny metal. Wfessed in shiny metal straps. standing in ruins. fantasy art, high details, masterpiece, cgsociety, photorealistic hyperrealism, cinematic octane render, volumetric lighting, depth of field, bokeh, translucent raytracing","concept art of humanoid consisting of transpaeent blue glass and shiny metal. dressed in shiny metal straps. standing in ruins. fantasy art, high details, maZterpiece, cgsociety, photorealistic hyperrealism, cinematic octane render, volumeyric lighting, depth of field, bokeh, translucent raytracing","conce)t art of humanoid c9nsisting of trZnsparent blue glass and shiny metal. dressed in shiny metal straps. standing in ruins. fantasy art, high details, masterpiece, cgsociety, photorealistic hHperrealism, cinematic octane render, volumetric lighting, depth of field, bokeh, translucenF raytracing"
5,"intricate detail, hyper detail, nefertiti, african sybil, lady of elche techno mystic princess intergalactica, wearing labradorite body armor, hazel green eyes, teal eyebrows, with neon aqua rapunzel dreadlocks, detailed, by sandro botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus, ","intricate detail, hyper detail, nefertiti, afrkcan sybil, lady of elche techno myatic princess intergalactica, wearing labradorite body armor, hazel green eyes, teal eyebrows, with neon aqua rapunzel dreadlocks, detailed, by sandro botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus,","intricate detail, hyper detail, nefertiti, african sybil, lady of elche techno mystic prjncess intergalactica, wearing labradorite body armor, hazel green eyes, teal eyebrows, with neon aqua rapunzel sreadlocks, detailed, by sandro botticelli, gaston buesiere, h. r. giger, masterpiece, sharp focus,","intricate detail, hyper detail, nefertiti, african sybil, lady of elche techno mystic princess intergalactica, wearing labradorite body armor, hazel h$een eyes, teal eyebrows, with nWin aqua rapunzel dreadlocks, detailed, by sznd$o botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus,"
6,"detailed medium format photo, polaroid still from a scandinavian movie, picture of a norse village burning down, haze, high production value, intricate details, 8 k resolution, hyperrealistic, hdr, photorealistic, high definition, tehnicolor, award - winning photography, masterpiece, amazing colors ","detailed medium format photo, polaroid still from a scandinavian movie, picture of a norse village burning down, haze, high production value, intricate details, 8 k resolution, hyperrealistic, hdr, photorealistic, high definition, tehnicolor, award - winning photography, mXsterpi#ce, amazing colors","detailed medium format photo, polaroid still from a scandinavian movie, picture of a norse bil:age burning down, haze, high prpduFtion value, intricate details, 8 k resolution, hyperrealistic, hdr, photorealistic, high definition, tehnicolor, award - winning photography, masterpiece, amazing colors","detaolec medium format photo, polaroid still from a scandinavian movie, picture of a norse village burning down, haze, high production value, intricate details, 8 k redolutiom, hyperrealistic, hdr, photorealistic, Bkgh definition, tehnicolor, award - winning photography, masterpiece, amazing colors"
7,painting of private onsen next to japanese inn with levitating red lanterns and petals by greg rutkowski craig mullins ross tran cushions towels buckets zen garden flowers japanese motifs concept art clear focus fantasy d & d cinematic lighting unreal engine lumen reflections trending on artstation ,painting of private onsen next to japanese inn with levitating red lanterns and petals by greg rutkowski craig mullins ross tran cushions towels buckets zen garden flowers japanese motifs concept art clear focus fzntasy d & d cinematiD lighting unreal engine lumen reflections trending on artstation,painting of orivate onsen next to japanese inn with levitating red lanterns and petals by greg rutkowski craig mullins ross tran cushions towels buckets zen garden flowers japajese motifs concept art clear focus fantasy d & d cinematic lighting unreal eGgine lumen reflections trending on artstation,painting of private onsen next to japanewe inn wiRh levitating red lanterns and perals by greg rutkowski craig mullins ross tran cushions towels buckets zen garden flowers japanese motifs concept art clear focus fantasy d & d cinematic lighting unreal engine lumen refleDtions trending on arfstation
8,"christopher lee as a 1 9 7 0 s pimp, intricate elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by ( ( ( artgerm ) ) ) and greg rutkowski! and ( ( alphonse mucha ) ), heavily influenced by frank frazetta and boris vallejo, sword and sorcery ","christopher lee as a 1 9 7 0 s pimp, intricate elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by (( (artgerm) )) and greg rutkowski! and (( alphonse mucha) ), Bewvily influenced by frank frazetta and boris vallejo, sword and sorcery","christopher lee as a 1 9 7 0 s pimp, intricate elegant, highly detailed, digi6a/ painting, artstation, concept art, smooth, sharp focjC, illustration, art by (( (artgerm) )) and greg rutkowski! and (( alphonse mucha) ), heavily influenced by frank frazetta and boris vallejo, sword and sorcery","christopher lee as a 1 9 7 0 s pimp, intricate dlegant, highly detailed, digital painting, artstation, concept art, smoofh, sharp focus, illustrqtion, art by (( (artgerm) )) and g3eg rutkowski! and (( alphonse mucha) ), heavily influenced by frank frazetta and boris val?ejo, sword and sorcery"
9,"hand holding neon lily one flower, studio shot, dark purple background, studio lighting, night dramatic lighting, trending on ArtStation, concept art, no surroundings, high detail, ray tracing, picturesque artwork by Mike Winkelmann, 4K, 8K, super graphically realistic detailed, high definition, HDR","hand holding neon lily one flower, studio shot, dark purple background, studio lighting, night dramatic lighting, trending on ArtStation, concept art, no surroundings, high WetaJl, ray tracing, picturesque artwork by Mike Winkelmann, 4K, 8K, super graphically realistic detailed, high definition, HDR","hand holding neon lily one flower, studio shot, dZTk purple background, studio lighting, night dramatic lighting, trending on ArtStation, concept art, no surroundings, high detail, ray tracing, picturesque xFtwork by Mike Winkelmann, 4K, 8K, super graphically realistic detailed, high definition, HDR","hand holding neon lily one Cloweg, studio shot, dark purple background, stuVOo lighting, night dramatic lighting, trending on ArtStation, concept art, no surroundings, high detail, ray tracubg, picturesque artwork by Mike Winkelmann, 4K, 8K, super graphically realistic detailed, high definition, HDR"
