meta_prompt,n1,obj1,obj2,chatgpt_out,synthetic_prompt
"one sentence of 1 words about stop sign, the 1 words should be between double quotes.",1,stop sign,,"""stop!""","a sign written on it ""stop!"""
"one sentence of 2 words about airplane, the 2 words should be between double quotes.",2,airplane,,"""flying machine""","a sign written on it ""flying machine"""
"one sentence of 3 words about beaker, the 3 words should be between double quotes.",3,beaker,,"""beaker is cute.""","a sign written on it ""beaker is cute."""
"one sentence of 2 words about tin can, the 2 words should be between double quotes.",2,tin can,,"""tin can""","a sign written on it ""tin can"""
"one sentence of 2 words about frog, the 2 words should be between double quotes.",2,frog,,"""frogs croak""","a sign written on it ""frogs croak"""
"one sentence of 5 words about pencil and skyscraper, the 5 words should be between double quotes.",5,pencil,skyscraper,"""pencils can't reach skyscrapers.""","a sign written on it ""pencils can't reach skyscrapers."""
"one sentence of 5 words about cd and tent, the 5 words should be between double quotes.",5,cd,tent,"""cds and tents are versatile.""","a sign written on it ""cds and tents are versatile."""
"one sentence of 5 words about seat belt and treadmill, the 5 words should be between double quotes.",5,seat belt,treadmill,"""seat belts and treadmills save lives.""","a sign written on it ""seat belts and treadmills save lives."""
"one sentence of 5 words about hanger and soccer, the 5 words should be between double quotes.",5,hanger,soccer,"""hanger and soccer don't mix.""","a sign written on it ""hanger and soccer don't mix."""
"one sentence of 6 words about cricket ball and saw, the 6 words should be between double quotes.",6,cricket ball,saw,"""saw cuts cricket ball in two.""","a sign written on it ""saw cuts cricket ball in two."""
"one sentence of 6 words about fountain and waste container, the 6 words should be between double quotes.",6,fountain,waste container,"""fountain and waste container, opposites.""","a real scene of office cubicles with a sign written on it ""fountain and waste container, opposites."""
"one sentence of 8 words about basket and sock, the 8 words should be between double quotes.",8,basket,sock,"""a basket full of socks is a cozy sight.""","a real scene of rainforest with a sign written on it ""a basket full of socks is a cozy sight."""
"one sentence of 7 words about building and ladybug, the 7 words should be between double quotes.",7,building,ladybug,"""a ladybug builds a home in nature.""","a real scene of castle with a sign written on it ""a ladybug builds a home in nature."""
"one sentence of 7 words about sports ball and jeans, the 7 words should be between double quotes.",7,sports ball,jeans,"""jeans and a sports ball are classic.""","a real scene of construction site with a sign written on it ""jeans and a sports ball are classic."""
"one sentence of 7 words about mouse1 and speaker, the 7 words should be between double quotes.",7,mouse1,speaker,"""mouse1 and speaker are connected.""","a real scene of conference room with a sign written on it ""mouse1 and speaker are connected."""
